id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49392,Share my Flat in Providencia,224592,Maria,,Providencia,-33.43277,-70.59892,Private room,48422,3,0,,,1,178,0,
52811,Suite Providencia 1 Santiago Chile,244792,Cristián,,Providencia,-33.42959,-70.6188,Entire home/apt,49335,1,45,2021-11-04,0.27,3,0,0,
53494,depto centro ski el colorado chile,249097,Paulina,,Lo Barnechea,-33.34521,-70.29543,Entire home/apt,235714,2,48,2024-09-01,0.48,1,365,11,
65058,Dpto amoblado centro historico,318016,Patricio,,Recoleta,-33.43049,-70.64079,Private room,,2,0,,,1,0,0,
73752,Barrio Lastarria,374124,Daniela&Ricardo,,Santiago,-33.43865,-70.64241,Private room,,3,0,,,1,0,0,
80482,Room Private for Woman,154527,Jacqueline,,La Florida,-33.51922,-70.59152,Private room,,2,0,,,1,0,0,
88944,COZY APT. PROVIDENCIA METRO WIFI TV,485358,Macarena,,Providencia,-33.42141,-70.60832,Entire home/apt,36280,3,218,2024-09-10,1.38,1,319,19,
90694,Apartment x Rent in Providencia 802,491253,Hector,,Providencia,-33.42629,-70.61866,Entire home/apt,49999,3,76,2024-09-01,0.47,2,355,5,
90769,New & Warm Apartment in Providencia,491253,Hector,,Providencia,-33.42864,-70.62178,Entire home/apt,49999,4,11,2013-03-08,0.07,2,363,0,
95139,Room Family Home,506998,Rafael,,Santiago,-33.43657,-70.67851,Private room,,7,0,,,1,0,0,
96722,Private bathroom room in Las Condes,513040,Elby,,Las Condes,-33.4236,-70.58372,Private room,,1,0,,,1,0,0,
106795,departamento santiago centro,552381,Nora,,Santiago,-33.43943,-70.65591,Entire home/apt,,1,0,,,1,0,0,
116494,DEPARTAMENTO SANTIAGO CHILE,588476,Antonio,,Santiago,-33.43814,-70.64508,Private room,,1,0,,,1,0,0,
119688,Nice & quiet place in Providencia,603746,Marco,,Providencia,-33.42942,-70.60583,Private room,,1,0,,,1,0,0,
122128,habitacion  single de Juan,612580,Juan,,Providencia,-33.43971,-70.60398,Private room,,1,0,,,1,0,0,
123569,Habitación Single,617378,Carolina,,Santiago,-33.45014,-70.64655,Private room,50249,1,0,,,1,365,0,
124075,Habitación Doble baño compartido,619256,Rodrigo,,Providencia,-33.41736,-70.61304,Private room,45000,2,1,2012-01-19,0.01,7,365,0,
124291,habitacion con baño privado,619919,Livia,,Las Condes,-33.41891,-70.55632,Private room,,5,0,,,1,0,0,
131054,habitación para 1,645012,Norman,,Santiago,-33.44294,-70.63366,Private room,36545,1,0,,,2,365,0,
132624,departamento  centrico lado Subway,651711,Administrador,,Santiago,-33.43294,-70.65467,Private room,,1,0,,,1,0,0,
133295,Urban Oasis Las Condes,13553614,Felipe,,Las Condes,-33.41154,-70.58899,Entire home/apt,164451,2,80,2023-12-22,0.51,2,175,1,
133783,Beautiful room in Providencia,656696,María Victoria,,Providencia,-33.42805,-70.60592,Private room,,1,0,,,1,0,0,
136438,Fully Furnished Apartment Providencia,667910,Roxana,,Providencia,-33.4223,-70.61064,Entire home/apt,52714,1,141,2024-09-10,0.92,16,324,46,
136993,Apto Las condes - Santiago de Chile,670148,Ursa,,Las Condes,-33.41349,-70.58773,Entire home/apt,53775,1,0,,,1,330,0,
139270,Better Location,679343,Mayer Ltda,,Santiago,-33.44931,-70.65418,Private room,,1,0,,,1,0,0,
142622,"2 bedrooms, 2 bathrooms and parking",639690,Gilda,,La Reina,-33.44324,-70.54792,Private room,60000,3,2,2022-04-16,0.02,1,363,0,
144172,Bedroom furnished home environment,698776,Elizabeth,,Santiago,-33.44218,-70.64363,Private room,,6,0,,,1,0,0,
147552,Near the mountain chain,712922,Karim,,Lo Barnechea,-33.35887,-70.51342,Shared room,,1,5,2018-04-22,0.04,2,0,0,
154395,"Santiago Las Condes 2D2B Luminoso, Grande & cozy",716143,Eugenio,,Las Condes,-33.41397512404282,-70.58234500887127,Entire home/apt,59986,5,236,2024-09-23,1.57,1,293,20,
154615,Furnished apartment near Metro,743719,Roberto,,Las Condes,-33.41641,-70.60232,Entire home/apt,41113,2,76,2024-08-31,0.48,3,293,8,
158137,Pieza independiente,759002,José,,Ñuñoa,-33.45929,-70.59437,Private room,,1,0,,,1,0,0,
160729,Apartment on 9th floor. Stunning views!,769822,Ronald,,Santiago,-33.4484,-70.6322,Entire home/apt,,150,17,2019-10-03,0.25,1,0,0,
172103,casa familia,821265,Ivonne,,Independencia,-33.42278,-70.65861,Private room,,1,0,,,1,0,0,
176932,Room Near Bellavista,846125,Patricio,,Recoleta,-33.42349,-70.6376,Private room,,1,0,,,1,0,0,
176943,comfortable room in the center of,846097,Monica Gabriela,,Providencia,-33.42623,-70.61435,Private room,,1,0,,,1,0,0,
177729,Bedroom  whit access to a bathroom,851453,Sandra,,Ñuñoa,-33.44791,-70.60169,Private room,,3,0,,,1,365,0,
181005,Private Room  in Barrio Bellavista,867345,Edwin,,Recoleta,-33.42104,-70.64067,Private room,31977,2,7,2024-08-06,0.06,1,360,1,
191723,"Artsy,joyful flat in nice area",927749,Pilar,,Providencia,-33.43066,-70.58561,Private room,60691,1,0,,,1,365,0,
191754,Apartment Historical Downtown Stgo.,927912,Miguel,,Santiago,-33.44035,-70.65797,Entire home/apt,30000,4,133,2024-09-01,0.84,2,331,12,
193626,"Spacious home, family atmosphere.",939376,Oscar,,San Miguel,-33.50118,-70.6484,Private room,,1,0,,,1,0,0,
202286,Furnished Apartment Forestal Park 1,131488797,Daniela-Fernando,,Santiago,-33.43394,-70.64736,Entire home/apt,32429,2,410,2024-04-16,2.58,16,58,2,
233585,Big Furnished Room,489857,Eduardo,,Santiago,-33.43885,-70.65656,Entire home/apt,,30,0,,,1,0,0,
256476,TRAVEL SUITES departamento amoblado en Providencia,1177685,Karina,,Providencia,-33.42547,-70.61701,Private room,40000,1,15,2023-10-21,0.10,2,341,2,
259656,Suite Providencia 2 Santiago Chile,244792,Cristián,,Providencia,-33.42892,-70.61782,Entire home/apt,54817,1,40,2022-01-13,0.26,3,0,0,
