"fecha_vigencia","precio","provincia","localidad","direccion"
"01/11/2023",321,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"02/08/2023",252.9,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"08/07/2023",242,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"08/12/2023",456,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"13/12/2023",625,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"18/08/2023",284.5,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"23/10/2023",293,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"25/11/2023",367,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"08/12/2023",356,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
"13/12/2023",498,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
"01/11/2023",335,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"02/08/2023",263.8,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"08/07/2023",252.4,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"08/12/2023",476,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"13/12/2023",639,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"18/08/2023",296.8,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"23/10/2023",306,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"25/11/2023",383,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"01/11/2023",309,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"02/08/2023",243.3,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"08/07/2023",232.8,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"08/12/2023",448,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"13/12/2023",614,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"18/08/2023",273.7,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"23/10/2023",282,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"25/11/2023",354,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"01/11/2023",309,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"02/08/2023",243.3,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"08/07/2023",232.8,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"08/12/2023",448,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"13/12/2023",614,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"18/08/2023",273.7,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"23/10/2023",282,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"25/11/2023",354,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"01/11/2023",343,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"02/08/2023",270.2,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"08/07/2023",258.6,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"08/12/2023",483,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"13/12/2023",659,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"18/08/2023",304,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"23/10/2023",313,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"25/11/2023",392,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"01/11/2023",306,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"02/08/2023",240.9,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"08/07/2023",230.5,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"08/12/2023",430,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"13/12/2023",599,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"18/08/2023",271,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"23/10/2023",279,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"25/11/2023",350,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"01/11/2023",331,"BUENOS AIRES","OLAVARRIA","MORENO 3002"
"02/08/2023",260.5,"BUENOS AIRES","OLAVARRIA","MORENO 3002"
"08/07/2023",249.3,"BUENOS AIRES","OLAVARRIA","MORENO 3002"
"08/12/2023",475,"BUENOS AIRES","OLAVARRIA","MORENO 3002"
"13/12/2023",649,"BUENOS AIRES","OLAVARRIA","MORENO 3002"
"18/08/2023",293.1,"BUENOS AIRES","OLAVARRIA","MORENO 3002"
"23/10/2023",302,"BUENOS AIRES","OLAVARRIA","MORENO 3002"
"25/11/2023",379,"BUENOS AIRES","OLAVARRIA","MORENO 3002"
"01/11/2023",316,"BUENOS AIRES","CAÑUELAS","DEL CARMEN 986"
"02/08/2023",248.6,"BUENOS AIRES","CAÑUELAS","DEL CARMEN 986"
"08/07/2023",237.9,"BUENOS AIRES","CAÑUELAS","DEL CARMEN 986"
"08/12/2023",453,"BUENOS AIRES","CAÑUELAS","DEL CARMEN 986"
"13/12/2023",613,"BUENOS AIRES","CAÑUELAS","DEL CARMEN 986"
"18/08/2023",279.7,"BUENOS AIRES","CAÑUELAS","DEL CARMEN 986"
"23/10/2023",288,"BUENOS AIRES","CAÑUELAS","DEL CARMEN 986"
"25/11/2023",362,"BUENOS AIRES","CAÑUELAS","DEL CARMEN 986"
"01/11/2023",316,"BUENOS AIRES","CAÑUELAS","RUTA 205 KM. 57.500"
"02/08/2023",248.6,"BUENOS AIRES","CAÑUELAS","RUTA 205 KM. 57.500"
"08/07/2023",237.9,"BUENOS AIRES","CAÑUELAS","RUTA 205 KM. 57.500"
"08/12/2023",453,"BUENOS AIRES","CAÑUELAS","RUTA 205 KM. 57.500"
"13/12/2023",613,"BUENOS AIRES","CAÑUELAS","RUTA 205 KM. 57.500"
"18/08/2023",279.7,"BUENOS AIRES","CAÑUELAS","RUTA 205 KM. 57.500"
"23/10/2023",288,"BUENOS AIRES","CAÑUELAS","RUTA 205 KM. 57.500"
"25/11/2023",362,"BUENOS AIRES","CAÑUELAS","RUTA 205 KM. 57.500"
"01/11/2023",327,"SANTA FE","SAN LORENZO","RTA AO12 KM 65"
"02/08/2023",257.1,"SANTA FE","SAN LORENZO","RTA AO12 KM 65"
"08/07/2023",246,"SANTA FE","SAN LORENZO","RTA AO12 KM 65"
"08/12/2023",465,"SANTA FE","SAN LORENZO","RTA AO12 KM 65"
"13/12/2023",639,"SANTA FE","SAN LORENZO","RTA AO12 KM 65"
"18/08/2023",289.2,"SANTA FE","SAN LORENZO","RTA AO12 KM 65"
"23/10/2023",298,"SANTA FE","SAN LORENZO","RTA AO12 KM 65"
"25/11/2023",374,"SANTA FE","SAN LORENZO","RTA AO12 KM 65"
"01/11/2023",323,"CORDOBA","LAS ACEQUIAS","25 DE MAYO 152"
"02/08/2023",254.8,"CORDOBA","LAS ACEQUIAS","25 DE MAYO 152"
"08/07/2023",243.8,"CORDOBA","LAS ACEQUIAS","25 DE MAYO 152"
"08/12/2023",460,"CORDOBA","LAS ACEQUIAS","25 DE MAYO 152"
"13/12/2023",639,"CORDOBA","LAS ACEQUIAS","25 DE MAYO 152"
"18/08/2023",286.7,"CORDOBA","LAS ACEQUIAS","25 DE MAYO 152"
"23/10/2023",295,"CORDOBA","LAS ACEQUIAS","25 DE MAYO 152"
"25/11/2023",370,"CORDOBA","LAS ACEQUIAS","25 DE MAYO 152"
"01/11/2023",323,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"02/08/2023",254.8,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"08/07/2023",243.8,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"08/12/2023",460,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"13/12/2023",639,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"18/08/2023",286.7,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"23/10/2023",295,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"25/11/2023",370,"CORDOBA","GRAL. CABRERA","AV.SAN MARTIN 405"
"01/11/2023",345,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"02/08/2023",271.8,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"08/07/2023",260.1,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"08/12/2023",485,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"13/12/2023",659,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"18/08/2023",305.8,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"23/10/2023",315,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"25/11/2023",395,"MISIONES","L.N. ALEM","AV. BELGRANO Y CORTI"
"01/11/2023",341,"MISIONES","POSADAS","AV. QUARANTA 6450"
"02/08/2023",268.5,"MISIONES","POSADAS","AV. QUARANTA 6450"
"08/07/2023",256.9,"MISIONES","POSADAS","AV. QUARANTA 6450"
"08/12/2023",479,"MISIONES","POSADAS","AV. QUARANTA 6450"
"13/12/2023",659,"MISIONES","POSADAS","AV. QUARANTA 6450"
"18/08/2023",302.1,"MISIONES","POSADAS","AV. QUARANTA 6450"
"23/10/2023",311,"MISIONES","POSADAS","AV. QUARANTA 6450"
"25/11/2023",390,"MISIONES","POSADAS","AV. QUARANTA 6450"
"01/11/2023",341,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"02/08/2023",268.5,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"08/07/2023",256.9,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"08/12/2023",479,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"13/12/2023",659,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"18/08/2023",302.1,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"23/10/2023",311,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"25/11/2023",390,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"01/11/2023",345,"MISIONES","SANTA ANA","CRUCE RUTA NAC 12 Y PROV 103"
"02/08/2023",271.8,"MISIONES","SANTA ANA","CRUCE RUTA NAC 12 Y PROV 103"
"08/07/2023",260.1,"MISIONES","SANTA ANA","CRUCE RUTA NAC 12 Y PROV 103"
"08/12/2023",485,"MISIONES","SANTA ANA","CRUCE RUTA NAC 12 Y PROV 103"
"13/12/2023",659,"MISIONES","SANTA ANA","CRUCE RUTA NAC 12 Y PROV 103"
"18/08/2023",305.8,"MISIONES","SANTA ANA","CRUCE RUTA NAC 12 Y PROV 103"
"23/10/2023",315,"MISIONES","SANTA ANA","CRUCE RUTA NAC 12 Y PROV 103"
"25/11/2023",395,"MISIONES","SANTA ANA","CRUCE RUTA NAC 12 Y PROV 103"
"01/11/2023",341,"MISIONES","POSADAS","Nuestra Señora del Carmen 949"
"02/08/2023",268.5,"MISIONES","POSADAS","Nuestra Señora del Carmen 949"
"08/07/2023",256.9,"MISIONES","POSADAS","Nuestra Señora del Carmen 949"
"08/12/2023",479,"MISIONES","POSADAS","Nuestra Señora del Carmen 949"
"13/12/2023",659,"MISIONES","POSADAS","Nuestra Señora del Carmen 949"
"18/08/2023",302.1,"MISIONES","POSADAS","Nuestra Señora del Carmen 949"
"23/10/2023",311,"MISIONES","POSADAS","Nuestra Señora del Carmen 949"
"25/11/2023",390,"MISIONES","POSADAS","Nuestra Señora del Carmen 949"
"01/11/2023",345,"MISIONES","L.N. ALEM","RUTA NAC. 14 Y PROGRESIVA 851"
"02/08/2023",271.8,"MISIONES","L.N. ALEM","RUTA NAC. 14 Y PROGRESIVA 851"
"08/07/2023",260.1,"MISIONES","L.N. ALEM","RUTA NAC. 14 Y PROGRESIVA 851"
"08/12/2023",485,"MISIONES","L.N. ALEM","RUTA NAC. 14 Y PROGRESIVA 851"
"13/12/2023",659,"MISIONES","L.N. ALEM","RUTA NAC. 14 Y PROGRESIVA 851"
"18/08/2023",305.8,"MISIONES","L.N. ALEM","RUTA NAC. 14 Y PROGRESIVA 851"
"23/10/2023",315,"MISIONES","L.N. ALEM","RUTA NAC. 14 Y PROGRESIVA 851"
"25/11/2023",395,"MISIONES","L.N. ALEM","RUTA NAC. 14 Y PROGRESIVA 851"
"01/11/2023",311,"BUENOS AIRES","ADROGUE","ESPORA 1491"
"02/08/2023",244.9,"BUENOS AIRES","ADROGUE","ESPORA 1491"
"08/07/2023",234.4,"BUENOS AIRES","ADROGUE","ESPORA 1491"
"08/12/2023",449,"BUENOS AIRES","ADROGUE","ESPORA 1491"
"13/12/2023",616,"BUENOS AIRES","ADROGUE","ESPORA 1491"
"18/08/2023",275.5,"BUENOS AIRES","ADROGUE","ESPORA 1491"
"23/10/2023",284,"BUENOS AIRES","ADROGUE","ESPORA 1491"
"25/11/2023",356,"BUENOS AIRES","ADROGUE","ESPORA 1491"
"01/11/2023",311,"BUENOS AIRES","ADROGUE","ESPORA 1498"
"02/08/2023",244.9,"BUENOS AIRES","ADROGUE","ESPORA 1498"
"08/07/2023",234.4,"BUENOS AIRES","ADROGUE","ESPORA 1498"
"08/12/2023",449,"BUENOS AIRES","ADROGUE","ESPORA 1498"
"13/12/2023",616,"BUENOS AIRES","ADROGUE","ESPORA 1498"
"18/08/2023",275.5,"BUENOS AIRES","ADROGUE","ESPORA 1498"
"23/10/2023",284,"BUENOS AIRES","ADROGUE","ESPORA 1498"
"25/11/2023",356,"BUENOS AIRES","ADROGUE","ESPORA 1498"
"01/11/2023",331,"BUENOS AIRES","SALADILLO","CABRAL Y SARMIENTO"
"02/08/2023",260.5,"BUENOS AIRES","SALADILLO","CABRAL Y SARMIENTO"
"08/07/2023",249.3,"BUENOS AIRES","SALADILLO","CABRAL Y SARMIENTO"
"08/12/2023",475,"BUENOS AIRES","SALADILLO","CABRAL Y SARMIENTO"
"13/12/2023",649,"BUENOS AIRES","SALADILLO","CABRAL Y SARMIENTO"
"18/08/2023",293.1,"BUENOS AIRES","SALADILLO","CABRAL Y SARMIENTO"
"23/10/2023",302,"BUENOS AIRES","SALADILLO","CABRAL Y SARMIENTO"
"25/11/2023",379,"BUENOS AIRES","SALADILLO","CABRAL Y SARMIENTO"
"01/11/2023",331,"BUENOS AIRES","SALADILLO","RUTA 51 Y 63"
"02/08/2023",260.5,"BUENOS AIRES","SALADILLO","RUTA 51 Y 63"
"08/07/2023",249.3,"BUENOS AIRES","SALADILLO","RUTA 51 Y 63"
"08/12/2023",475,"BUENOS AIRES","SALADILLO","RUTA 51 Y 63"
"13/12/2023",649,"BUENOS AIRES","SALADILLO","RUTA 51 Y 63"
"18/08/2023",293.1,"BUENOS AIRES","SALADILLO","RUTA 51 Y 63"
"23/10/2023",302,"BUENOS AIRES","SALADILLO","RUTA 51 Y 63"
"25/11/2023",379,"BUENOS AIRES","SALADILLO","RUTA 51 Y 63"
"01/11/2023",331,"BUENOS AIRES","NORBERTO DE LA RIESTRA","SGTO. CABRAL 605"
"02/08/2023",260.5,"BUENOS AIRES","NORBERTO DE LA RIESTRA","SGTO. CABRAL 605"
